Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Bill Gates,"Bill Gates is an American business magnate, software developer, investor, and philanthropist.",https://en.wikipedia.org/wiki/Bill_Gates,//www.instagram.com/thisisbillgates,//www.twitter.com/BillGates,,https://www.gatesnotes.com/
Naval Ravikant,Naval Ravikant is an Indian-American entrepreneur and investor.,https://en.wikipedia.org/wiki/Naval_Ravikant,//www.instagram.com/naval,//www.twitter.com/naval,,
Tim Ferriss,"Tim Ferriss is an American entrepreneur, author and podcaster.",https://en.wikipedia.org/wiki/Tim_Ferriss,//www.instagram.com/timferriss,//www.twitter.com/tferriss,,
Christopher Hitchens,"Christopher Hitchens was an English intellectual, polemicist, and socio-political critic who expressed himself as an author, orator, essayist, journalist, and columnist.",https://en.wikipedia.org/wiki/Christopher_Hitchens,,,,
Elon Musk,Elon Musk is an engineer and technology entrepreneur.,https://en.wikipedia.org/wiki/Elon_Musk,,//www.twitter.com/elonmusk,,
Barack Obama,Barack Obama is an American attorney and politician who served as the 44th president of the United States.,https://en.wikipedia.org/wiki/Barack_Obama,//www.instagram.com/barackobama,//www.twitter.com/BarackObama,,
Jordan Peterson,Jordan Peterson is a Canadian clinical psychologist and a professor of psychology at the University of Toronto.,https://en.wikipedia.org/wiki/Jordan_Peterson,//www.instagram.com/jordan.b.peterson,//www.twitter.com/jordanbpeterson,,
Jocko Willink,"Jocko Willink is an American retired officer of the United States Navy, who served in the Navy SEAL teams.",https://en.wikipedia.org/wiki/Jocko_Willink,//www.instagram.com/jockowillink,//www.twitter.com/jockowillink,,
Noam Chomsky,"Noam Chomsky is an American linguist, philosopher, cognitive scientist, historian, social critic, and political activist.",https://en.wikipedia.org/wiki/Noam_Chomsky,,,,
Joe Rogan,Joe Rogan is an American comedian and podcast host.,https://en.wikipedia.org/wiki/Joe_Rogan,//www.instagram.com/joerogan,//www.twitter.com/joerogan,,
Warren Buffett,Warren Buffett is the chairman and CEO of Berkshire Hathaway.,https://en.wikipedia.org/wiki/Warren_Buffett,,//www.twitter.com/WarrenBuffett,,
Paul Graham,"Paul Graham is an English-born American computer scientist, entrepreneur, venture capitalist, author, and essayist.",https://en.wikipedia.org/wiki/Paul_Graham_(programmer),,//www.twitter.com/paulg,,
Ev Williams,Ev Williams is an American computer programmer and Internet entrepreneur.,https://en.wikipedia.org/wiki/Evan_Williams_(Internet_entrepreneur),//www.instagram.com/evhead,//www.twitter.com/ev,,
Ryan Holiday,"Ryan Holiday is an American author, marketer, entrepreneur and founder of the creative advisory firm Brass Check.",https://en.wikipedia.org/wiki/Ryan_Holiday,//www.instagram.com/ryanholiday,//www.twitter.com/RyanHoliday,,
